ACARA SML ID,School Name,State,School Sector,School Type,Geolocation,ICSEA,ICSEA Percentile,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
43117,Coonamble High School,NSW,Government,Secondary,Remote,776,2,211,110,101,211,73,0,100,0
49472,Peterborough High School,SA,Government,Secondary,Outer Regional,867,5,73,35,38,73,18,0,100,0
40082,Smithton High School,TAS,Government,Secondary,Outer Regional,871,6,340,173,167,331.5,34,0,99,0
40848,Shepparton ACE Secondary College,VIC,Independent,Secondary,Inner Regional,921,13,86,47,39,86,12,0,100,0
45462,Rutherglen High School,VIC,Government,Secondary,Inner Regional,964,29,290,169,121,290,4,0,99,0
49464,Millicent High School,SA,Government,Secondary,Outer Regional,963,29,417,215,202,416.4,5,0,100,0
51521,Alta-1 College,QLD,Independent,Secondary,Major Cities,968,31,73,47,26,73,10,0,100,0
40601,Western Australian College Of Agriculture - Cunderdin,WA,Government,Secondary,Outer Regional,1004,48,134,39,95,134,10,0,66,34
50328,Launceston Big Picture School,TAS,Government,Secondary,Inner Regional,1004,48,90,51,39,86.8,10,0,99,1
42693,Yanco Agricultural High School,NSW,Government,Secondary,Outer Regional,1004,49,237,116,121,237,9,0,100,0
43544,McAuley Catholic College,NSW,Catholic,Secondary,Inner Regional,1018,55,511,245,266,511,6,0,100,0
52792,Australian Industry Trade College - Toowoomba,QLD,Independent,Secondary,Inner Regional,1017,55,92,19,73,92,5,0,100,0
45745,Mercy Regional College,VIC,Catholic,Secondary,Inner Regional,1028,60,417,226,191,417,1,0,100,0
46023,Galen Catholic College,VIC,Catholic,Secondary,Inner Regional,1030,61,1141,596,545,1140.1,2,0,100,0
52497,Maleny Independent School,QLD,Independent,Secondary,Inner Regional,1032,61,20,8,12,20,5,0,100,0
45647,Assumption College,VIC,Catholic,Secondary,Inner Regional,1040,65,1236,580,656,1236,1,0,100,0
49857,Endeavour College,SA,Independent,Secondary,Major Cities,1073,78,722,323,399,722,0,0,99,1
40701,Hubbard's School,QLD,Independent,Secondary,Major Cities,1106,87,64,33,31,50.9,3,0,100,0
43674,St Vincent's College,NSW,Independent,Secondary,Major Cities,1139,94,707,707,0,707,3,0,99,1
43105,Wellington High School,NSW,Government,Secondary,Outer Regional,809,3,273,127,146,273,58,1,99,0
50321,JRLF - Senior School,TAS,Government,Secondary,Inner Regional,810,3,332,168,164,328.6,30,1,98,1
42522,Wee Waa High School,NSW,Government,Secondary,Outer Regional,850,4,142,78,64,142,39,1,99,0
40059,Bayview Secondary College,TAS,Government,Secondary,Inner Regional,863,5,304,138,166,293.8,20,1,95,4
49625,Stuart High School,SA,Government,Secondary,Outer Regional,871,6,177,98,79,177,34,1,99,0
40063,New Norfolk High School,TAS,Government,Secondary,Inner Regional,889,7,343,164,179,340.3,16,1,98,1
42520,Quirindi High School,NSW,Government,Secondary,Outer Regional,892,8,386,175,211,385.9,31,1,99,0
45398,Heywood District Secondary College,VIC,Government,Secondary,Outer Regional,897,9,96,51,45,95,18,1,99,0
42528,Warialda High School,NSW,Government,Secondary,Outer Regional,909,11,158,76,82,156.4,19,1,99,0
40049,Scottsdale High School,TAS,Government,Secondary,Outer Regional,921,14,305,148,157,293.9,10,1,96,3
40632,Claremont College,TAS,Government,Secondary,Inner Regional,922,14,452,202,250,427.2,16,1,96,4
47539,Lowood State High School,QLD,Government,Secondary,Inner Regional,927,15,742,369,373,742,11,1,99,0
47559,Capella State High School,QLD,Government,Secondary,Remote,936,18,114,58,56,113.8,9,1,98,1
45374,Croydon Community School,VIC,Government,Secondary,Major Cities,940,19,146,51,95,145.4,6,1,99,0
45446,Orbost Secondary College,VIC,Government,Secondary,Outer Regional,941,20,238,106,132,237.1,10,1,96,3
45367,Casterton Secondary College,VIC,Government,Secondary,Outer Regional,943,21,117,56,61,116.1,4,1,99,0
45376,Dimboola Memorial Secondary College,VIC,Government,Secondary,Outer Regional,944,21,149,76,73,148.9,13,1,98,1
40183,Latrobe High School,TAS,Government,Secondary,Inner Regional,945,22,535,256,279,532.7,10,1,96,3
42392,Gloucester High School,NSW,Government,Secondary,Inner Regional,946,22,360,197,163,359.4,11,1,99,0
45493,Yarram Secondary College,VIC,Government,Secondary,Inner Regional,950,23,325,146,179,324.1,4,1,79,20
49519,Penola High School,SA,Government,Secondary,Outer Regional,951,24,90,45,45,89.8,6,1,99,0
42922,Crookwell High School,NSW,Government,Secondary,Inner Regional,956,26,231,124,107,231,9,1,99,0
